,0
zip,95014
sector,Technology
fullTimeEmployees,154000
longBusinessSummary,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. It also sells various related services. In addition, the company offers iPhone, a line of smartphones; Mac, a line of personal computers; iPad, a line of multi-purpose tablets; AirPods Max, an over-ear wireless headphone; and wearables, home, and accessories comprising AirPods, Apple TV, Apple Watch, Beats products, HomePod, and iPod touch. Further, it provides AppleCare support services; cloud services store services; and operates various platforms, including the App Store that allow customers to discover and download applications and digital content, such as books, music, video, games, and podcasts. Additionally, the company offers various services, such as Apple Arcade, a game subscription service; Apple Music, which offers users a curated listening experience with on-demand radio stations; Apple News+, a subscription news and magazine service; Apple TV+, which offers exclusive original content; Apple Card, a co-branded credit card; and Apple Pay, a cashless payment service, as well as licenses its intellectual property. The company serves consumers, and small and mid-sized businesses; and the education, enterprise, and government markets. It distributes third-party applications for its products through the App Store. The company also sells its products through its retail and online stores, and direct sales force; and third-party cellular network carriers, wholesalers, retailers, and resellers. Apple Inc. was incorporated in 1977 and is headquartered in Cupertino, California."
city,Cupertino
phone,408 996 1010
state,CA
country,United States
companyOfficers,[]
website,https://www.apple.com
maxAge,1
address1,One Apple Park Way
industry,Consumer Electronics
ebitdaMargins,0.33842
profitMargins,0.26407
grossMargins,0.43322
operatingCashflow,116425998336
revenueGrowth,0.086
operatingMargins,0.30926
ebitda,130633998336
targetLowPrice,157
recommendationKey,buy
grossProfits,152836000000
freeCashflow,84384628736
targetMedianPrice,190
currentPrice,147.96
earningsGrowth,0.086
currentRatio,0.927
returnOnAssets,0.21695
numberOfAnalystOpinions,43
targetMeanPrice,188.92
debtToEquity,178.016
returnOnEquity,1.49271
targetHighPrice,214
totalCash,51511001088
totalDebt,119980998656
totalRevenue,386017001472
totalCashPerShare,3.183
financialCurrency,USD
revenuePerShare,23.471
quickRatio,0.76
recommendationMean,1.9
exchange,NMS
shortName,Apple Inc.
longName,Apple Inc.
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EDT
isEsgPopulated,False
gmtOffSetMilliseconds,-14400000
quoteType,EQUITY
symbol,AAPL
messageBoardId,finmb_24937
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,6.383
beta3Year,
enterpriseToEbitda,18.862
52WeekChange,0.1732614
morningStarRiskRating,
forwardEps,6.56
revenueQuarterlyGrowth,
sharesOutstanding,16185199616
fundInceptionDate,
annualReportExpenseRatio,
totalAssets,
bookValue,4.158
sharesShort,108695931
sharesPercentSharesOut,0.0067000003
fundFamily,
lastFiscalYearEnd,1632528000
heldPercentInstitutions,0.59669
netIncomeToCommon,101934997504
trailingEps,6.137
lastDividendValue,0.23
SandP52WeekChange,-0.029111743
priceToBook,35.584415
heldPercentInsiders,0.00072999997
nextFiscalYearEnd,1695600000
yield,
mostRecentQuarter,1648252800
shortRatio,1.03
sharesShortPreviousMonthDate,1649894400
floatShares,16168348412
beta,1.20009
enterpriseValue,2464038518784
priceHint,2
threeYearAverageReturn,
lastSplitDate,1598832000
lastSplitFactor,4:1
legalType,
lastDividendDate,1651795200
morningStarOverallRating,
earningsQuarterlyGrowth,0.058
priceToSalesTrailing12Months,6.2352047
dateShortInterest,1652400000
pegRatio,2.43
ytdReturn,
forwardPE,22.55488
lastCapGain,
shortPercentOfFloat,0.0067000003
sharesShortPriorMonth,103292182
impliedSharesOutstanding,0
category,
fiveYearAverageReturn,
previousClose,148.71
regularMarketOpen,148.58
twoHundredDayAverage,159.4779
trailingAnnualDividendYield,0.0059175575
payoutRatio,0.14310001
volume24Hr,
regularMarketDayHigh,149.8697
navPrice,
averageDailyVolume10Day,80618970
regularMarketPreviousClose,148.71
fiftyDayAverage,157.4582
trailingAnnualDividendRate,0.88
open,148.58
toCurrency,
averageVolume10days,80618970
expireDate,
algorithm,
dividendRate,0.92
exDividendDate,1651795200
circulatingSupply,
startDate,
regularMarketDayLow,147.46
currency,USD
trailingPE,24.1095
regularMarketVolume,82997
lastMarket,
maxSupply,
openInterest,
marketCap,2406895058944
volumeAllCurrencies,
strikePrice,
averageVolume,96117584
dayLow,147.46
ask,148.58
askSize,1000
volume,82997
fiftyTwoWeekHigh,182.94
fromCurrency,
fiveYearAvgDividendYield,1.08
fiftyTwoWeekLow,125.94
bid,148.35
tradeable,False
dividendYield,0.0062
bidSize,1000
dayHigh,149.8697
regularMarketPrice,147.96
preMarketPrice,147.58
logo_url,https://logo.clearbit.com/apple.com
trailingPegRatio,2.4893
