,0
zip,75202
sector,Communication Services
fullTimeEmployees,203160
longBusinessSummary,"AT&T Inc. provides telecommunications, media, and technology services worldwide. Its Communications segment offers wireless voice and data communications services; and sells handsets, wireless data cards, wireless computing devices, and carrying cases and hands-free devices through its own company-owned stores, agents, and third-party retail stores. It also provides data, voice, security, cloud solutions, outsourcing, and managed and professional services, as well as customer premises equipment for multinational corporations, small and mid-sized businesses, governmental, and wholesale customers. In addition, this segment offers broadband fiber and legacy telephony voice communication services to residential customers. It markets its communications services and products under the AT&T, Cricket, AT&T PREPAID, and AT&T Fiber brand names. The company's Latin America segment provides wireless services in Mexico; and video services in Latin America. This segment markets its services and products under the AT&T and Unefon brand names. The company was formerly known as SBC Communications Inc. and changed its name to AT&T Inc. in 2005. AT&T Inc. was incorporated in 1983 and is headquartered in Dallas, Texas."
city,Dallas
phone,210 821 4105
state,TX
country,United States
companyOfficers,[]
website,https://www.att.com
maxAge,1
address1,208 South Akard Street
industry,Telecom Services
ebitdaMargins,0.32212
profitMargins,0.10637
grossMargins,0.53213
operatingCashflow,37761998848
revenueGrowth,-0.133
operatingMargins,0.20207001
ebitda,52515000320
targetLowPrice,14
recommendationKey,hold
grossProfits,89057000000
freeCashflow,43106000896
targetMedianPrice,22
currentPrice,21.05
earningsGrowth,-0.364
currentRatio,0.932
returnOnAssets,0.03663
numberOfAnalystOpinions,24
targetMeanPrice,23.88
debtToEquity,127.356
returnOnEquity,0.10119
targetHighPrice,41
totalCash,38626000896
totalDebt,237590003712
totalRevenue,163030007808
totalCashPerShare,5.395
financialCurrency,USD
revenuePerShare,22.726
quickRatio,0.734
recommendationMean,2.6
exchange,NYQ
shortName,AT&T Inc.
longName,AT&T Inc.
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EDT
isEsgPopulated,False
gmtOffSetMilliseconds,-14400000
quoteType,EQUITY
symbol,T
messageBoardId,finmb_100231
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,2.247
beta3Year,
enterpriseToEbitda,6.977
52WeekChange,-0.044886887
morningStarRiskRating,
forwardEps,2.54
revenueQuarterlyGrowth,
sharesOutstanding,7159000064
fundInceptionDate,
annualReportExpenseRatio,
totalAssets,
bookValue,23.612
sharesShort,82691755
sharesPercentSharesOut,0.0116
fundFamily,
lastFiscalYearEnd,1640908800
heldPercentInstitutions,0.54301
netIncomeToCommon,17136000000
trailingEps,2.377
lastDividendValue,0.278
SandP52WeekChange,-0.029111743
priceToBook,0.8914958
heldPercentInsiders,0.00116
nextFiscalYearEnd,1703980800
yield,
mostRecentQuarter,1648684800
shortRatio,1.42
sharesShortPreviousMonthDate,1649894400
floatShares,7148619450
beta,0.731851
enterpriseValue,366393458688
priceHint,2
threeYearAverageReturn,
lastSplitDate,1649635200
lastSplitFactor,1324:1000
legalType,
lastDividendDate,1649808000
morningStarOverallRating,
earningsQuarterlyGrowth,-0.363
priceToSalesTrailing12Months,0.924351
dateShortInterest,1652400000
pegRatio,-2.12
ytdReturn,
forwardPE,8.287401
lastCapGain,
shortPercentOfFloat,0.0116
sharesShortPriorMonth,81701560
impliedSharesOutstanding,0
category,
fiveYearAverageReturn,
previousClose,21.14
regularMarketOpen,21.09
twoHundredDayAverage,19.166477
trailingAnnualDividendYield,0.08689688
payoutRatio,0.65269995
volume24Hr,
regularMarketDayHigh,21.195
navPrice,
averageDailyVolume10Day,32286350
regularMarketPreviousClose,21.14
fiftyDayAverage,19.737059
trailingAnnualDividendRate,1.837
open,21.09
toCurrency,
averageVolume10days,32286350
expireDate,
algorithm,
dividendRate,1.11
exDividendDate,1649808000
circulatingSupply,
startDate,
regularMarketDayLow,20.99
currency,USD
trailingPE,8.8557
regularMarketVolume,20151446
lastMarket,
maxSupply,
openInterest,
marketCap,150696951808
volumeAllCurrencies,
strikePrice,
averageVolume,53087732
dayLow,20.99
ask,21.06
askSize,21500
volume,20151446
fiftyTwoWeekHigh,22.167673
fromCurrency,
fiveYearAvgDividendYield,6.64
fiftyTwoWeekLow,16.63142
bid,21.06
tradeable,False
dividendYield,0.053000003
bidSize,21500
dayHigh,21.195
regularMarketPrice,21.05
preMarketPrice,21.04
logo_url,https://logo.clearbit.com/att.com
