,2022-04-30,2022-01-29,2021-10-30,2021-07-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,41758000.0,67495000.0,204205000.0,160438000.0
Minority Interest,,,,
Net Income,31740000.0,50428000.0,152224000.0,121511000.0
Selling General Administrative,298755000.0,349680000.0,313890000.0,293939000.0
Gross Profit,388026000.0,488685000.0,564524000.0,502391000.0
Ebit,41902000.0,96298000.0,209687000.0,167996000.0
Operating Income,41902000.0,96298000.0,209687000.0,167996000.0
Other Operating Expenses,,,,
Interest Expense,-4588000.0,-8594000.0,-8612000.0,-8921000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,10018000.0,17067000.0,51981000.0,38927000.0
Total Revenue,1055037000.0,1507937000.0,1274078000.0,1194156000.0
Total Operating Expenses,1013135000.0,1411639000.0,1064391000.0,1026160000.0
Cost Of Revenue,667011000.0,1019252000.0,709554000.0,691765000.0
Total Other Income Expense Net,-144000.0,-28803000.0,-5482000.0,-7558000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,31740000.0,50428000.0,152224000.0,121511000.0
Net Income Applicable To Common Shares,31740000.0,50428000.0,152224000.0,121511000.0
